iter	Logloss
0	0.692983214
1	0.6928029021
2	0.6925932025
3	0.6923746962
4	0.6922353385
5	0.6920969842
6	0.6919331136
7	0.691777164
8	0.6916072308
9	0.6914570374
10	0.691253415
11	0.6910698557
12	0.6909199321
13	0.6906807276
14	0.6904836724
15	0.69036666
16	0.6901628683
17	0.6898963451
18	0.689752065
19	0.689609506
20	0.6894640871
21	0.6892827997
22	0.6890454322
23	0.6889021049
24	0.6886774606
25	0.6884941077
26	0.6883271879
27	0.6881685964
28	0.6880397077
29	0.6878557917
30	0.6876864464
31	0.6874494306
32	0.6872324949
33	0.6870749123
34	0.6869220988
35	0.6867221419
36	0.6865542085
37	0.6863480573
38	0.6862483179
39	0.6860901863
40	0.6859471235
41	0.6857719886
42	0.6855972536
43	0.6853680214
44	0.6851830756
45	0.6850288308
46	0.6848875474
47	0.6847340473
48	0.684587008
49	0.6844358751
50	0.6842532527
51	0.6840722976
52	0.6839719626
53	0.6838264447
54	0.6837142563
55	0.683611689
56	0.6833640127
57	0.6831829049
58	0.6830616809
59	0.6829352448
60	0.6827912739
61	0.6826917487
62	0.6825411184
63	0.6824068378
64	0.682193056
65	0.6820269037
66	0.681796649
67	0.6817028496
68	0.6815262082
69	0.6815002182
70	0.6813863444
71	0.6812750871
72	0.6811487284
73	0.681087819
74	0.6809265655
75	0.6807284059
76	0.6806087173
77	0.6804555948
78	0.6803522995
79	0.6802486335
80	0.6800383242
81	0.6799053628
82	0.6797886459
83	0.679636421
84	0.6794501676
85	0.6792591032
86	0.6791011947
87	0.6789373486
88	0.678819238
89	0.6786572349
90	0.6784717412
91	0.6783629388
92	0.6782735779
93	0.678112924
94	0.6780504112
95	0.6778692293
96	0.6777974525
97	0.6777008719
98	0.6776118081
99	0.6775099751
100	0.6774177755
101	0.6772536952
102	0.6771710784
103	0.6769959704
104	0.6769177972
105	0.6767177397
106	0.6765314952
107	0.6764550626
108	0.6763939769
109	0.676194434
110	0.6761379772
111	0.67601984
112	0.6759934725
113	0.6759073341
114	0.6757842056
115	0.6756422257
116	0.6755199195
117	0.6753867383
118	0.6753191308
119	0.6753077664
120	0.6752269076
121	0.6751383493
122	0.6750487034
123	0.6749069642
124	0.6747676528
125	0.6746224946
126	0.6744727871
127	0.6742957494
128	0.6741500734
129	0.6740003741
130	0.6739029786
131	0.6737840665
132	0.6736742694
133	0.6735587869
134	0.6734210518
135	0.6733127505
136	0.6732612375
137	0.6731546244
138	0.6730756317
139	0.6730071668
140	0.6728739637
141	0.6727314959
142	0.6726289165
143	0.6724710611
144	0.6723057512
145	0.6722227787
146	0.6720936094
147	0.6719865593
148	0.6718852384
149	0.6717341417
150	0.6716581426
151	0.6715328006
152	0.6714023301
153	0.6712295435
154	0.6711071867
155	0.6709814916
156	0.6708339284
157	0.6707272814
158	0.6705460775
159	0.6704841198
160	0.6703646579
161	0.6702953036
162	0.6701344755
163	0.670001524
164	0.6698858775
165	0.6697784818
166	0.6697255747
167	0.6696251792
168	0.6695094552
169	0.6693894566
170	0.6692723819
171	0.6691306882
172	0.668952826
173	0.6688943489
174	0.6687804281
175	0.668672379
176	0.6686102348
177	0.6685954292
178	0.668472818
179	0.6683535114
180	0.6682808714
181	0.6681725539
182	0.6680501578
